,Recent headlines and conversations for NKE,Polarity
4145,"lets get bumper sticker""NEVER NIKE""",0.0113
4146,YOU GUYS SHOULD SEE THE GOOD LOOKING YOUNG PEOPLE AT THE TRUMP RALLY SHOWS THE COUNTRY IS MOVING IN THE RIGHT DIRECTION,0.7863
4147,Just sold 1k short @ 80.58. See you in December,-0.3815
4148,Sales trends since commie ads only explanation for this epic collapse,-0.3749
4149,"CEO Parker says ""I am who I AM"" I Am who I am? and how DARE question the NEXT Micheal Jordan for Nike Colin Kappernick!...Yes we took huge liberties with the facts and truth with the Nike Kaperneck ""Give it UP Hoax... Well? maybe Walking out on 49er contract? is really not ""Giving It Up For Something You Believe In? But its ME CEO PARKER all seeing All Knowing...And its Show Biz? so few liberties with the facts? the Free advertising claim? Just do not ASK me? Parker Says? what Kappernick ""actually"" gave up for cause??? as i DO NOT KNOW?",0.9875
4150,IS THAT A MAGA HAT ARE IS HILARY BURNING THE EVIDENCE AGAIN,0.0395
4151,Where are those earnings?,0.1737
4152,"My 3 daughters, all under 16, have been telling me for years to wear something other than NIKE. ""Only old people wear those"" they would say, ""try something else"". Well, Dad won't be wearing, nor buying NIKE anymore.",0.7824
4153,Most MB here have gone quiet or far less interactive. Where is everyone? In your bunkers?,0.6751
4154,"Nike is a communist organization controlled completely by the Peoples Republic of China. Though they are not committing treason, they should be declared an enemy of the state; the board of directors should be brought up on charges of unfair labor practices and child labor, and collaboration with enemy spies.",-0.7881
4155,Down 600. Must be that wonderful blue wave,-0.1343
4156,VERY Bad business decision NIKE!,-0.4404
4157,"Can't you just see it......everybody working at Nike gets an email from management, says to vote Democrat (demo-socialist) in November or you won't have a job come January. LOL",0.6396
4158,Dow up 123 pts and Nike down 2%........ What a wonderful day. I might go out and buy me a new pair of Under Armours this weekend.,0.6866
4159,is that $4b gone?,0.0013
4160,I don't want to own a stock that is anti-flag and anti American,-0.2406
4161,Just bought my whole family new shoes. 20 straight years have been Nike. Never again. Adidas and Brooks all around. And we weren't the only ones avoiding Nike. Foot Locker said Nike sales are the worst ever in 15 years there.,-0.4837
4162,Overpriced!Trailing P/E 33.91Forward P/E 26.87,-0.4653
4163,Buy anything but Nike. 2019 will be the beginning of the down turn. Can't wait to see what's reported after the Holidays.,-0.0587
4164,"I’m glad to see the market back on the road Obama started it on. It doubled under Barack, leaving tRUMP big shoes to fill.",0.3972
4165,short Kneeke....just do it.,-0.4611
4166,"Stacey Abrams' Democratic campaign filed a federal lawsuit Sunday in Atlanta asking a judge to delay vote certifications in Georgia unsettled governor's race by one day and to make officials count any votes that were wrongly rejected.If successful, the suit would prevent officials from certifying county vote totals until Wednesday and could restore at least 1,095 votes that weren't counted. The campaign said thousands more ballots could be affected.AUNT JEMIMA CAN SUE WHO SHE WANT'S SHE LOST ROFLMAO",0.9482
4167,Nike on fire? I agreea Down from 82! Its buring to the ground!,-0.5969
4168,this politically motivated anti-Trump campaign will go down in history as one of the biggest PR blunders of all time..,0.7265
4169,up 15 % after hours ?,0.1284
4170,Nike's new slogan - just burn it !,0.3145
4171,I would rather watch college football.The NFL will have another year with lower attendance.,0.3568
4172,NKE wants to play.....politics......NKE will lose!,-0.5192
4173,Nike disappoints....,0.0
4174,"Socialism at its finest, good job democrats. Give money instead of having them earn it.",0.5877
4175,Right back to Tuesday lows,-0.1638
4176,"Sell sell sell, short short short, make money while bringing the company to its knees so they can look eye to eye with their anti American hero kapernick",0.5393
4177,The FUN continues After Hours!! Its 74.50 Now LOL!!,0.8643
4178,Monday night football and nobody is watching,0.3439
4179,Nike is now just a SJW brand. Wear Nike and you stand /kneel against law enforcement.,0.1722
4180,"This is what happens to companies that alienate half of their customer base through corporate activism. The loss in revenue and earnings doesn't show up right away, but results in a gradual drop over time. Many like myself tell people that if I'm wearing Nike apparel it is at least two or three years old, because that is when many stopped buying Nike. #$%$ and other athletic retailers are now stocking much more of their stores with Under Armor and Adidas gear now as a result. Of course Nike had the initial pop with those that sympathized with their causes, but now the impact of the loss of a large chunk of their customer base is starting to show up in financial results. The best days of Nike are behind them.",0.9154
4181,"NKE is getting desperate for sales, I heard they are trying to get the dollar store to start selling their shoes.They said no ,they are poorly made",-0.6793
4182,The 2 faces of Nike are disgusting at best. I will shop nowhere that Nike is. Nike is now a Race Baitor. Making it a Black Entitlementment Company. Kaepernick and Williams show us all how they believe they are entitled to have special treatment and be allowed to disrespect every ethnic group because of their Black Entitlement Belief. The Nike Statement is a joke coming from Karpernick as he suggested of sacrificing everything. That in itself is a complete lie from jump street Nike Style!,0.9201
4183,In case your just figuring it out Trump just played 3 dimensional chess on the Democrats again and won.,0.8475
4184,Still down on 2X's normal volume and we have 2.5 hours left. There is a conclusion to draw on that information.,0.3741
4185,Stock reports after market close tomorrow.,0.0442
4186,"Nike will now be pushing the ""socially responsible"" ad campaign. It is rumored they have hired the star of the gold medal winning special Olympics basketball team. The ad will show him juking Lebron, and finally dunking on him. The commercial will end with a wink then the classic ""Just do it"".",0.8994
4187,"I'll definitely never buy any Nike/Converse again, nor support them in any way.P.S. remember how quickly Nike dropped Tiger Woods. Go Tiger!!!",0.8808
4188,does not look like it will stay green..... REDS ALWAYS BEST WITH THIS JUST LIKE VOTING,0.9449
4189,JUST DON'T DO IT....DON'T PICK UP WHAT NKE IS LAYIN' DOWN,-0.2265
4190,No Nike products will ever be purchased by me and my family.. God Bless America,0.3998
4191,LOL.......Stormy and Avenatti were supposed to get him. Then Cohen was going to bring him down.Now Mueller has failed too. Who's the next scapegoat??,-0.7478
4192,Dropping to 140 in the morning. Same story everyday,0.0921
4193,"Far more people are upset at Nike at this than political and age lines i’m finding. I’m hearing from young and old, white, asian, black, mexican, male, female, democrat and republican, this was anti-American, anti-law and order. None of these people will ever do business with Nike again. There has to be major pain coming nike’s way, no question.",-0.5522
4194,Makes no difference which side you’re on. This will drop significantly. Put your money in JD. Great time to buy it.,0.2173
4195,HAS ANYONE SEEN THE KRAPERNICK COMMERCIAL OTHER THAN OPENING NIGHT ????,0.5287
4196,AMAZON IS NEXT,0.17
4197,The 13% likes Nike because they can run fast in them. Like when they rob people and have to run away,0.5597
4198,https://www.youtube.com/watch?v=7Bl_LSa4sJA,0.0
4199,Red and Back under the Pre Earnings Close again.The Party is over.Its the Kraepernik Curse.,-0.236
4200,FAULKEM - NIKE WILL SEE THE REAL NUMBERS AFTER CHRISTMAS.Eagles Bring Out “Philly Special” To Win But NFL Kickoff Ratings Down From 2017,-0.0436
4201,"I have no stake in this stock. My family own quite a few Nike products but will no longer buy any. I don't want to be walking around with the ""just be dolt"" swoosh!",-0.2415
4202,Maybe Jermaine Whitehead and Kaepernick can do Nike commercial together. Believe in something. Even if it means sacrificing everything. LOL,0.5454
4203,"Nike couldn't have endorsed an anarchist at a better time! Not only tdo they have to deal with a downturn in the market thet have to dral with the backlash as well! Also, earnings will not help matters! OUCH",0.5481
4204,"As long as Nike continues to pay those chinese children 23 cents a day, the stock price should continue to move north.",0.8444
4205,prophet what do you sell,0.2058
4206,"Mares,Nothing to do with Trump.Its Called Good Ole American Values..................ace",0.4285
4207,After it gets to 71.50 the next target would be 60,-0.099
4208,Nice healthy 5% drop to last weeks lows,0.3408
4209,"This is the end, my only friend, the end. ---Nike",0.5325
4210,"Funny, I was going to buy a pair today; I just changed my mind!",0.5964
4211,"DO NOT WATCH THURSDAY NIGHT This clown Kapernuckle started dating a radical black muslim, he let her fill his empty head with all that wonderful garbage.He sucked way before the protests began! He's a cancer for any team and that should be obvious to all at this point. That's why he's not signed anywhere to play football !The most pathetic part about all this is watching the Woke crowd totally ignore Nike's child labor practices and the fact they've been sued for pay discrimination against women and have spent millions settling racial discrimination lawsuits.Why, it is almost as if the Woke crowd has no principles, or something. Why dont these ""STARS"" go to where the REAL problems are if they want to help so bad?!?! Because Its easier to claim inequality and racism than preach to inner city youth on the values of life and respect the law rather than break it. Become mediocre + Claim racism + Claim collusion = $Profit$",-0.6157
4212,What if I told you that the next basketball God would demand $3000+ for a college regular season basketball game?What if I told you that millions would tune in to the game of the year which wasn't even a Championship Game?What if I told you that this game would be bigger than the Super Bowl?ESPN 30 for 30: How Nike Blew It - Literally - And Lost a Generation of Consumers At the Feet of Zion,0.5796
4213,IS THE DECLINE IN THE STOCK PRICE REFERRED TO A KAEPERNICKING ROFLMAO,0.5062
4214,This decision makes their Dennis Rodman decision look pale. I will never buy another NIKE product,0.5155
4215,miss?,-0.1531
4216,Has Nike spokesperson Colin Kaepernick finally gone too far?What should Nike now do to protect shareholders interests?,0.7051
4217,Who would be crazy enough to get involved in such an emotional issue - Nike. poor management.,-0.3928
4218,My friend owns a local sporting goods store. He removed all Nike products today and put a sign on the front door saying we no longer sell Nike products! MAGA,0.6793
4219,should i throw away my nikes and take a video to feel i have importance or should i invest more in CRON...invest more in CRON,0.3714
4220,"""Nike $60.00 puts expiring in a week. Cost for ten contract about $300 and change. Get them today. Price will be hugely different tomorrow.""So said a Nike short earlier in the trading day today. He will have a worthless position by the morning.",-0.6988
4221,NKE will drop another 4% during conference call. It can grow only so much. They gave highest expectation last time.,0.5953
4222,Nike sales jumped and their stock did not plummet and yet the haters are still pouring in lol... some folks should take a marketing class or two.,-0.2231
